Bairro,Coordenadas
Aeroporto,"-1.1423013, -48.4545478"
Água Boa,"-1.2579676, -48.4541267"
Águas Lindas,"-1.4106819, -48.3925318"
Águas Negras,"-1.3045941, -48.4432742"
Agulha,"-1.3049139, -48.4711298"
Ariramba,"-1.1193783, -48.4309014"
Aurá,"-1.4255977, -48.3847762"
Baía do Sol,"-1.067664, -48.350316"
Barreiro,"-1.4130584, -48.4836502"
Batista Campos,"-1.4609694, -48.4891385"
Benguí,"-1.3755029, -48.4561909"
Bonfim,"-1.1094828, -48.3987632"
Brasília,"-1.2801933, -48.4752884"
Cabanagem,"-1.3685206, -48.4330357"
Campina ,"-1.4529362, -48.4980117"
Campina de Icoaraci,"-1.2945724, -48.4702334"
Canudos,"-1.4515326, -48.4606171"
Carananduba,"-1.0946583, -48.403913"
Caruará,"-1.0717188, -48.3905825"
Castanheira,"-1.4077631, -48.4345231"
Chapéu-Virado,"-1.1357473, -48.4524771"
Cidade Velha,"-1.4619451, -48.5027503"
Condor,"-1.4721438, -48.4782681"
Coqueiro,"-1.3453902, -48.4431671"
Cremação,"-1.4616249, -48.4778756"
Cruzeiro,"-1.2975074, -48.483894"
Curió-Utinga,"-1.4333062, -48.4197829"
Farol,"-1.1362622, -48.4660813"
Fátima,"-1.4420358, -48.4725124"
Guamá,"-1.4658042, -48.4629978"
Guanabara,"-1.4007326, -48.4124746"
Itaiteua,"-1.2725526, -48.4464904"
Jurunas,"-1.4691222, -48.493002"
Mangueirão,"-1.3870649, -48.4451299"
Mangueiras,"-1.1505072, -48.4606954"
Maracacuera,"-1.2893634, -48.4496375"
Maracajá,"-1.1663183, -48.4633454"
Maracangalha,"-1.4018138, -48.4784553"
Marahú,"-1.0741484, -48.4007373"
Marambaia,"-1.4022386, -48.4493434"
Marco,"-1.4362857, -48.458977"
Miramar,"-1.4081334, -48.4892824"
Montese (Terra Firme),"-1.45403185, -48.45115208120467"
Murubira,"-1.1272222, -48.4426361"
Natal do Murubira,"-1.1328538, -48.4457367"
Nazaré,"-1.4526114, -48.4846813"
Paracuri,"-1.3143416, -48.477179"
Paraíso,"-1.0689512, -48.3828148"
Parque Guajará,"-1.3230454, -48.457996"
Parque Verde,"-1.3623088, -48.4488292"
Pedreira,"-1.4256402, -48.4698333"
Ponta Grossa,"-1.3072724500000001, -48.48338663430559"
Porto Arthur,"-1.1277371, -48.4497171"
Praia Grande,"-1.1484692, -48.4655019"
Pratinha,"-1.3707004, -48.4787524"
Reduto,"-1.4462912, -48.4921629"
Sacramenta,"-1.4132573, -48.4748938"
São Brás,"-1.4510433, -48.4713829"
São Clemente,"-1.3654216, -48.4628333"
São Francisco,"-1.1076378, -48.4187832"
São João de Outeiro,"-1.2680419, -48.4642057"
Souza,"-1.4165441, -48.4516199"
Sucurijuquara,"-1.0855994, -48.3687171"
Tapanã,"-1.3411284, -48.4687472"
Telégrafo,"-1.4260425, -48.4857103"
Tenoné,"-1.3235659, -48.4385574"
Umarizal,"-1.4398926, -48.484956"
Una,"-1.3715418, -48.425871"
Universitário,"-1.4628793, -48.4402862"
Val-de-Cães,"-1.3858138, -48.4734926"
Vila,"-1.163774, -48.470181"
