Bairro,Coordenadas
Águas Lindas,"-1.4106819, -48.3925318"
Aurá,"-1.4255977, -48.3847762"
Barreiro,"-1.4130584, -48.4836502"
Batista Campos,"-1.4609694, -48.4891385"
Benguí,"-1.3755029, -48.4561909"
Cabanagem,"-1.3685206, -48.4330357"
Campina ,"-1.4529362, -48.4980117"
Canudos,"-1.4515326, -48.4606171"
Castanheira,"-1.4077631, -48.4345231"
Cidade Velha,"-1.4619451, -48.5027503"
Condor,"-1.4721438, -48.4782681"
Coqueiro,"-1.3453902, -48.4431671"
Cremação,"-1.4616249, -48.4778756"
Curió-Utinga,"-1.4333062, -48.4197829"
Fátima,"-1.4420358, -48.4725124"
Guamá,"-1.4658042, -48.4629978"
Guanabara,"-1.4007326, -48.4124746"
Jurunas,"-1.4691222, -48.493002"
Mangueirão,"-1.3870649, -48.4451299"
Maracangalha,"-1.4018138, -48.4784553"
Marambaia,"-1.4022386, -48.4493434"
Marco,"-1.4362857, -48.458977"
Miramar,"-1.4081334, -48.4892824"
Montese (Terra Firme),"-1.45403185, -48.45115208120467"
Nazaré,"-1.4526114, -48.4846813"
Parque Verde,"-1.3623088, -48.4488292"
Pedreira,"-1.4256402, -48.4698333"
Pratinha,"-1.3707004, -48.4787524"
Reduto,"-1.4462912, -48.4921629"
Sacramenta,"-1.4132573, -48.4748938"
São Brás,"-1.4510433, -48.4713829"
São Clemente,"-1.3654216, -48.4628333"
Souza,"-1.4165441, -48.4516199"
Tapanã,"-1.3411284, -48.4687472"
Telégrafo,"-1.4260425, -48.4857103"
Tenoné,"-1.3235659, -48.4385574"
Umarizal,"-1.4398926, -48.484956"
Una,"-1.3715418, -48.425871"
Universitário,"-1.4628793, -48.4402862"
Val-de-Cães,"-1.3858138, -48.4734926"
